ETA,SIGMA,N,mse,esp_neuronal
0.125,4.0,10000,0.1806248077937074,17.682236478670575
0.125,4.0,11000,0.16785812488015076,17.600125867205467
0.125,4.0,12000,0.16300133003634626,17.714731870878854
0.125,4.0,13000,0.1895685169824871,17.860984020127326
0.125,4.0,14000,0.18304052923529845,18.769014937164922
0.125,4.0,15000,0.2078098659864023,18.3504039100836
0.125,4.0,16000,0.1890032118233114,18.02179100529557
0.125,4.0,17000,0.15810684349838158,17.4123132873929
0.125,4.0,18000,0.17406275685053854,17.601698767774625
0.125,4.0,19000,0.20326318371890312,19.461094505357536
0.125,4.0,20000,0.1700662931706024,18.395467715208913
0.125,4.0,21000,0.18169257025577662,17.898426357469717
0.125,4.0,22000,0.17821878483570516,18.545370428084187
0.125,4.0,23000,0.19554379499033114,17.967113777882272
0.125,4.0,24000,0.15964324611384492,19.025189428469734
0.125,4.0,25000,0.18407709910908515,17.957137545787308
0.125,4.0,26000,0.17423072922727242,18.762262552031657
0.125,4.0,27000,0.1668181693934882,18.261704121914548
0.125,4.0,28000,0.20290987756071674,18.36395297539063
0.125,4.0,29000,0.17785904577424397,17.93222513801345
0.125,4.0,30000,0.1794560278929588,17.499379529278734
0.125,4.0,31000,0.19772150749784775,18.06873591788041
0.125,4.0,32000,0.16795942016514515,18.682101087946336
0.125,4.0,33000,0.1779555259555248,18.206075698464552
0.125,4.0,34000,0.17240013702677734,18.80671687469021
0.125,4.0,35000,0.1639698529807731,18.6635448639169
0.125,4.0,36000,0.17110934280833492,17.3978352783925
0.125,4.0,37000,0.1705613028188338,17.73111280749136
0.125,4.0,38000,0.17608523745218282,18.041790106448833
0.125,4.0,39000,0.19930389416152858,18.411269883998827
0.125,4.0,40000,0.1846649476596891,17.848146125830958
0.125,4.0,41000,0.1777844984069262,17.22877199150673
0.125,4.0,42000,0.17561256689456403,18.32978658696472
0.125,4.0,43000,0.16888021381888083,18.516072272507376
0.125,4.0,44000,0.19833328286195026,17.42908759893842
0.125,4.0,45000,0.19777307886461729,18.178184464799685
0.125,4.0,46000,0.1741459597513675,17.534494086563978
0.125,4.0,47000,0.1650351610636471,19.448337148554792
0.125,4.0,48000,0.17597036914400863,17.68038708244859
0.125,4.0,49000,0.1793343111601827,17.636308452484354
0.125,0.1,1000,0.02109547029779697,40.95193614302756
0.125,0.1,2000,0.00789311197951809,50.195168766666285
0.125,0.1,3000,0.006269514317824709,56.55855430524607
0.125,0.1,4000,0.005948694258318661,66.29319823977993
0.125,0.1,5000,0.006071820582111392,73.97314408331538
0.125,0.1,6000,0.005952487974883991,79.46146912997095
0.125,0.1,7000,0.005830959347731662,85.8074248499006
0.125,0.1,8000,0.005805606087129278,93.99790348875568
0.125,0.1,9000,0.005743823652139962,101.48768387558302
0.125,0.1,10000,0.005881080308435971,109.6834658861592
0.125,0.1,11000,0.005962828126558973,115.17515095979509
0.125,0.1,12000,0.006005444454523352,120.46063273351633
0.125,0.1,13000,0.005687313806936777,125.6614923359039
0.125,0.1,14000,0.005702707295778064,135.79355549674239
0.125,0.1,15000,0.005610688980679611,142.36856792526618
0.125,0.1,16000,0.005649282110630117,147.4342095188259
0.125,0.1,17000,0.005581805829472743,151.72699817071614
0.125,0.1,18000,0.005563275927802533,152.36916527114678
0.125,0.1,19000,0.005711316510820093,151.73986212319772
0.125,0.1,20000,0.00560933037184502,148.88440110907197
0.125,0.1,21000,0.0056152697871511515,154.67373307709468
0.125,0.1,22000,0.005662781930025678,158.27521257504918
0.125,0.1,23000,0.0057581395918032815,157.92706024398808
0.125,0.1,24000,0.005649866914322097,157.2305729184511
0.125,0.1,25000,0.005655089423547277,165.4791884428801
0.125,0.1,26000,0.005635129440214075,171.292844382846
0.125,0.1,27000,0.005657667946638517,172.1833470521141
0.125,0.1,28000,0.005528695440823489,173.68361146659507
0.125,0.1,29000,0.005539358675640363,173.9665305773129
0.125,0.1,30000,0.005587673841474108,176.56682722716835
0.125,0.1,31000,0.005609419035181553,178.29735310841986
0.125,0.1,32000,0.005670313328923553,181.82809990186206
0.125,0.1,33000,0.005601419534873119,177.7463415305307
0.125,0.1,34000,0.0055905647036910595,181.86284559851927
0.125,0.1,35000,0.005614382730654745,183.649760379939
0.125,0.1,36000,0.005594653923018778,190.58175087397828
0.125,0.1,37000,0.005546737155953362,190.98510462115598
0.125,0.1,38000,0.005611686873565885,189.69164313161528
0.125,0.1,39000,0.005629854457465631,194.2394155467993
0.125,0.1,40000,0.005638978946059352,199.18293744233316
0.125,0.1,41000,0.005549460206185222,197.93197510633806
0.125,0.1,42000,0.0056891826918163925,198.50466504006585
0.125,0.1,43000,0.005542131990685546,201.14672891075432
0.125,0.1,44000,0.00557233663408785,199.37844547990585
0.125,0.1,45000,0.005544504621686224,196.61067016127055
0.125,0.1,46000,0.0055618991438252776,192.2342822912106
0.125,0.1,47000,0.005568595543643963,194.9304953183036
0.125,0.1,48000,0.005582394588019474,195.89663261085403
0.125,0.1,49000,0.005555912875882266,198.08032306136303
0.125,0.2,1000,0.006582333403507327,192.51740683168651
0.125,0.2,2000,0.006297606378560166,193.5071607454152
0.125,0.2,3000,0.00608643888757562,194.76764720850124
0.125,0.2,4000,0.006079394307827371,193.97868492600142
0.125,0.2,5000,0.0060331380021777644,191.68346357532306
0.125,0.2,6000,0.005995572733802791,193.78955539397387
0.125,0.2,7000,0.005868504574144547,194.08392573599147
0.125,0.2,8000,0.005783424772632704,193.25721956911596
0.125,0.2,9000,0.006017892201939373,192.20179561843634
0.125,0.2,10000,0.005806779050778617,189.36003464027579
0.125,0.2,11000,0.005754494338274372,191.11175992842954
0.125,0.2,12000,0.0058149884118894836,192.49830610947436
0.125,0.2,13000,0.005745929342073634,192.24251317007136
0.125,0.2,14000,0.005689757931554961,190.2985698792925
0.125,0.2,15000,0.005770234184520709,188.96649819236066
0.125,0.2,16000,0.005777043494817957,187.6397810178059
0.125,0.2,17000,0.005738537261091018,190.1589899956322
0.125,0.2,18000,0.005715949183349911,188.46905290745337
0.125,0.2,19000,0.005803668018468403,191.54134998036287
0.125,0.2,20000,0.005578429557049064,190.7467751308246
0.125,0.2,21000,0.00558660971920404,192.63372987079578
0.125,0.2,22000,0.005675691646146337,194.64736815807942
0.125,0.2,23000,0.005673178950013526,192.13537150433615
0.125,0.2,24000,0.005726802050275379,194.74307473980207
0.125,0.2,25000,0.0055539744618938736,194.03917561213436
0.125,0.2,26000,0.005620432860169626,193.11994879225853
0.125,0.2,27000,0.005706869153103486,196.76277792508526
0.125,0.2,28000,0.005583029153448677,196.24101285521917
0.125,0.2,29000,0.005636658282583763,193.24996032521983
0.125,0.2,30000,0.005522061674414407,199.7768137836672
0.125,0.2,31000,0.00558229336270575,197.99314662483718
0.125,0.2,32000,0.005655909959036764,198.4710550556143
0.125,0.2,33000,0.005612831566162087,191.5986479210169
0.125,0.2,34000,0.005626722404405707,189.88343525779777
0.125,0.2,35000,0.005533555985580306,189.50497118377785
0.125,0.2,36000,0.005545072542821315,186.85999804100024
0.125,0.2,37000,0.005591818740946186,184.88938067398024
0.125,0.2,38000,0.005588683772977697,189.2052312310759
0.125,0.2,39000,0.0057081984129927835,190.99091931655352
0.125,0.2,40000,0.005512354057260335,192.23780537659903
0.125,0.2,41000,0.005572263449495445,188.019849459283
0.125,0.2,42000,0.005572045316666552,188.42344783501736
0.125,0.2,43000,0.0055832930497501185,187.1812552480876
0.125,0.2,44000,0.005499210048140544,187.4587629110408
0.125,0.2,45000,0.00556173513100363,193.31858218022668
0.125,0.2,46000,0.005606380882266678,192.3619575970554
0.125,0.2,47000,0.005615500328139552,194.83869918973187
0.125,0.2,48000,0.005555181644228785,198.27992432677638
0.125,0.2,49000,0.005718756332987008,203.35416911008872
0.125,0.3,1000,0.006863180076427638,193.26102976018936
0.125,0.3,2000,0.007386823695317517,174.7980772975367
0.125,0.3,3000,0.007172396556283768,159.08610305079017
0.125,0.3,4000,0.006887929692291282,152.27953034919042
0.125,0.3,5000,0.006877576334056861,145.23545144449307
0.125,0.3,6000,0.006383741131101583,136.73408415451647
0.125,0.3,7000,0.006192439256764683,131.95180476677774
0.125,0.3,8000,0.006249294744409352,125.69111510544819
0.125,0.3,9000,0.006175780256544956,122.080774842446
0.125,0.3,10000,0.006103676368844073,116.93451175262216
0.125,0.3,11000,0.006048284295253379,112.51126449444082
0.125,0.3,12000,0.00596241605756614,106.85312256118578
0.125,0.3,13000,0.005891819370082407,103.02092186677827
0.125,0.3,14000,0.0059243056512333445,100.59651360089562
0.125,0.3,15000,0.005892341051605788,96.8122446492766
0.125,0.3,16000,0.005898513363629,94.75299036628526
0.125,0.3,17000,0.005733131607080008,93.20685740199258
0.125,0.3,18000,0.005658340430361975,93.14335515694216
0.125,0.3,19000,0.005799518255655168,92.02452220349143
0.125,0.3,20000,0.00561955521226792,92.10732478636048
0.125,0.3,21000,0.00581494025488761,88.54552275720151
0.125,0.3,22000,0.005754081141035624,87.47235565550214
0.125,0.3,23000,0.005713290638737793,90.91142903409737
0.125,0.3,24000,0.005652480214305795,85.4811963729009
0.125,0.3,25000,0.005614810389887318,84.86679338060094
0.125,0.3,26000,0.00561478321949572,82.63701278229965
0.125,0.3,27000,0.005632330636187098,82.97836054202394
0.125,0.3,28000,0.005836093939659696,83.67057317228688
0.125,0.3,29000,0.005690484649989998,81.77936708740437
0.125,0.3,30000,0.005556510106655073,80.20352771492351
0.125,0.3,31000,0.005645886404324516,81.8561075670122
0.125,0.3,32000,0.005575933752435702,81.40026156278634
0.125,0.3,33000,0.005721507319154188,80.08751890482222
0.125,0.3,34000,0.005648617070459837,82.20365447030294
0.125,0.3,35000,0.0056637461699799675,80.43578591452106
0.125,0.3,36000,0.005713172567993589,79.91113768308601
0.125,0.3,37000,0.005779708450149436,80.59606103625998
0.125,0.3,38000,0.005658655526226055,77.04231619951196
0.125,0.3,39000,0.005556922417249903,79.25239720612888
0.125,0.3,40000,0.005659992398685783,79.09816328468207
0.125,0.3,41000,0.005539795362079091,79.46187599009164
0.125,0.3,42000,0.005752123257356524,77.29818850452969
0.125,0.3,43000,0.00563294329934445,78.57703151090666
0.125,0.3,44000,0.005607438712301423,79.38847364610815
0.125,0.3,45000,0.005602825647822692,77.5562162646443
0.125,0.3,46000,0.005524043878836592,74.55204859674642
0.125,0.3,47000,0.005688034609810698,76.66532433471
0.125,0.3,48000,0.005552645765533609,75.5371222742384
0.125,0.3,49000,0.005534129590298377,72.35099352306612
0.125,0.4,1000,0.007687731028085718,64.67747737507989
0.125,0.4,2000,0.007267154583142547,54.071839178988675
0.125,0.4,3000,0.006829536782635817,52.292914964531626
0.125,0.4,4000,0.006748829440953863,49.930936277105936
0.125,0.4,5000,0.00661804937103167,49.13681638956677
0.125,0.4,6000,0.00660970747600529,47.86321537968185
0.125,0.4,7000,0.006543287324316925,46.80538663242452
0.125,0.4,8000,0.0063198196340263175,46.19384551377089
0.125,0.4,9000,0.006406501718135532,46.30609721078699
0.125,0.4,10000,0.006409597290598737,45.270731152659856
0.125,0.4,11000,0.006492758060474785,45.84584353994846
0.125,0.4,12000,0.006401296187721574,45.73435615380662
0.125,0.4,13000,0.0064123872293494625,45.70606070415645
0.125,0.4,14000,0.006536402490925259,45.171423425121
0.125,0.4,15000,0.006277541915820167,44.121246135282135
0.125,0.4,16000,0.006085914674680464,43.59924128932825
0.125,0.4,17000,0.00623525793577691,44.109040490800766
0.125,0.4,18000,0.006225378512642734,44.65272168420856
0.125,0.4,19000,0.006234208966751211,43.975498376348
0.125,0.4,20000,0.006149797354192538,43.86296577955587
0.125,0.4,21000,0.00617508055145849,44.12028425049671
0.125,0.4,22000,0.006276309200324566,43.97217714270635
0.125,0.4,23000,0.00634209031873903,44.46917507489112
0.125,0.4,24000,0.006267100135110198,44.19201077385584
0.125,0.4,25000,0.00611127903714777,44.02999683794543
0.125,0.4,26000,0.006176124613316095,44.06031649148247
0.125,0.4,27000,0.006228559483113733,44.722840729073894
0.125,0.4,28000,0.006169130564059599,44.866807415771945
0.125,0.4,29000,0.006231045112234013,44.58680311941603
0.125,0.4,30000,0.006219273689508803,44.37697019782571
0.125,0.4,31000,0.0061736891332517235,44.277208047875185
0.125,0.4,32000,0.006325425874353194,44.52753159207694
0.125,0.4,33000,0.006090154374301275,44.20074605515235
0.125,0.4,34000,0.006163409777445634,44.51965218765444
0.125,0.4,35000,0.006143054190006403,43.63997654417397
0.125,0.4,36000,0.006224161454680206,44.09066351300386
0.125,0.4,37000,0.006196129695358355,44.022628047284854
0.125,0.4,38000,0.006181865986805166,43.82827205152846
0.125,0.4,39000,0.006287657127167756,43.75876593898317
0.125,0.4,40000,0.006108040228078271,43.28840406974561
0.125,0.4,41000,0.006210672625884882,44.23053680914768
0.125,0.4,42000,0.006202753439979966,43.90783260674723
0.125,0.4,43000,0.006315015817991653,44.54808356644679
0.125,0.4,44000,0.006051302939542938,44.976738116938506
0.125,0.4,45000,0.0061676163869965345,44.34024649732642
0.125,0.4,46000,0.006216887018819274,45.353797234944125
0.125,0.4,47000,0.006066301252591049,43.846268381837994
0.125,0.4,48000,0.00628090580459358,44.239763960146696
0.125,0.4,49000,0.00616914089703533,43.991015390206606
0.25,1.0,1000,0.017737258513175296,35.5061163369395
0.25,1.0,2000,0.018770150841639587,35.061661451395395
